label,logloss,hit,roi,buy_n,buy_hit,buy_roi
baseline lgb_hNone(既存),3.8204,0.5792,0.8028,,,
m11_tuned1,3.8206655979156494,0.5753358809815656,0.804342450821293,116.0,0.646551724137931,0.8226154769046191
m11_tuned2,3.8240394592285156,0.5738337299012185,0.8099570382015201,98.0,0.6836734693877551,0.89822695035461
m11_data12,3.812896251678467,0.5820655178215204,0.8027024290258173,101.0,0.7227722772277227,1.007552258934592
m11_ens3_data12,3.809403419494629,0.584396856298219,0.8117315342405566,83.0,0.7590361445783133,1.1739625711960944
